#	date	

15:47:46.156803		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
15:47:47.435949		TRACK	STATE	CURSOR	Y	-0.013240029968526442
15:47:47.455969		TRACK	STATE	CURSOR	X	-0.011194254395323103
15:47:47.456079		TRACK	STATE	CURSOR	Y	-0.014623581464088183
15:47:47.476246		TRACK	STATE	CURSOR	X	-0.011450729218664588
15:47:47.476359		TRACK	STATE	CURSOR	Y	-0.016086953937385906
15:47:47.496664		TRACK	STATE	CURSOR	X	-0.01169962562588761
15:47:47.496764		TRACK	STATE	CURSOR	Y	-0.017490525790612763
15:47:47.516845		TRACK	STATE	CURSOR	X	-0.01195300883618087
15:47:47.516939		TRACK	STATE	CURSOR	Y	-0.018903492196783556
15:47:47.537115		TRACK	STATE	CURSOR	X	-0.012210843507570115
15:47:47.537219		TRACK	STATE	CURSOR	Y	-0.010325607588951917
15:47:47.557478		TRACK	STATE	CURSOR	X	-0.012486320941424758
15:47:47.557589		TRACK	STATE	CURSOR	Y	-0.011828405083323149
15:47:47.577797		TRACK	STATE	CURSOR	X	-0.01275316610751285
15:47:47.577905		TRACK	STATE	CURSOR	Y	-0.013268502264156138
15:47:47.598132		TRACK	STATE	CURSOR	X	-0.013024348345133515
15:47:47.598258		TRACK	STATE	CURSOR	Y	-0.014716990877215586
15:47:47.618598		TRACK	STATE	CURSOR	X	-0.013313714060653023
15:47:47.618698		TRACK	STATE	CURSOR	Y	-0.016246660480782445
15:47:47.638544		TRACK	STATE	CURSOR	X	-0.0135936621584092
15:47:47.638661		TRACK	STATE	CURSOR	Y	-0.017711565294543666
15:47:47.658802		TRACK	STATE	CURSOR	X	-0.01387782306958866
15:47:47.658967		TRACK	STATE	CURSOR	Y	-0.019184091940302725
15:47:47.679382		TRACK	STATE	CURSOR	X	-0.014180679142070274
15:47:47.679504		TRACK	STATE	CURSOR	Y	-0.010738169144887818
15:47:47.699719		TRACK	STATE	CURSOR	X	-0.014473341146052005
15:47:47.699824		TRACK	STATE	CURSOR	Y	-0.012225522865439377
15:47:47.720041		TRACK	STATE	CURSOR	X	-0.014770081935432047
15:47:47.720156		TRACK	STATE	CURSOR	Y	-0.013719717903815752
15:47:47.740403		TRACK	STATE	CURSOR	X	-0.015085999153790294
15:47:47.740517		TRACK	STATE	CURSOR	Y	-0.015295703251117643
15:47:47.760811		TRACK	STATE	CURSOR	X	-0.015390956353154017
15:47:47.760932		TRACK	STATE	CURSOR	Y	-0.016803115037604545
15:47:47.781105		TRACK	STATE	CURSOR	X	-0.015715395686705047
15:47:47.781209		TRACK	STATE	CURSOR	Y	-0.018392405163457956
15:47:47.801388		TRACK	STATE	CURSOR	X	-0.016028366883000855
15:47:47.801494		TRACK	STATE	CURSOR	Y	-0.019911940616779054
15:47:47.821884		TRACK	STATE	CURSOR	X	-0.01634517124213729
15:47:47.821987		TRACK	STATE	CURSOR	Y	-0.01143699102684423
15:47:47.841938		TRACK	STATE	CURSOR	X	-0.016665757488780752
15:47:47.842057		TRACK	STATE	CURSOR	Y	-0.01296729358702219
15:47:47.862219		TRACK	STATE	CURSOR	X	-0.01700638608144305
15:47:47.862483		TRACK	STATE	CURSOR	Y	-0.014579475457077875
