#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:40.428680		TRACK	STATE	CURSOR	Y	-0.013308968848679667
22:53:40.448063		TRACK	STATE	CURSOR	X	-0.01121846475836701
22:53:40.449093		TRACK	STATE	CURSOR	Y	-0.014762484739482691
22:53:40.468107		TRACK	STATE	CURSOR	X	-0.01146306694406666
22:53:40.469226		TRACK	STATE	CURSOR	Y	-0.01615690563493647
22:53:40.488947		TRACK	STATE	CURSOR	X	-0.011724762615523243
22:53:40.488947		TRACK	STATE	CURSOR	Y	-0.017631403716933815
22:53:40.509097		TRACK	STATE	CURSOR	X	-0.011978592579990621
22:53:40.510137		TRACK	STATE	CURSOR	Y	-0.019045296095871994
22:53:40.529162		TRACK	STATE	CURSOR	X	-0.012236870412463222
22:53:40.530166		TRACK	STATE	CURSOR	Y	-0.010468312825638435
22:53:40.550409		TRACK	STATE	CURSOR	X	-0.01251280918148349
22:53:40.550409		TRACK	STATE	CURSOR	Y	-0.01197203005845403
22:53:40.570253		TRACK	STATE	CURSOR	X	-0.012780089809100096
22:53:40.571254		TRACK	STATE	CURSOR	Y	-0.013412977643408189
22:53:40.591175		TRACK	STATE	CURSOR	X	-0.013065397315776014
22:53:40.591175		TRACK	STATE	CURSOR	Y	-0.014934972428518095
22:53:40.612182		TRACK	STATE	CURSOR	X	-0.013355436052438857
22:53:40.612182		TRACK	STATE	CURSOR	Y	-0.016465900328434764
22:53:40.631813		TRACK	STATE	CURSOR	X	-0.013636018764069835
22:53:40.635362		TRACK	STATE	CURSOR	Y	-0.017931964612234327
22:53:40.652243		TRACK	STATE	CURSOR	X	-0.013920807925142284
22:53:40.653243		TRACK	STATE	CURSOR	Y	-0.019405612587940525
22:53:40.672769		TRACK	STATE	CURSOR	X	-0.014209760506086114
22:53:40.672769		TRACK	STATE	CURSOR	Y	-0.010886589323624784
22:53:40.692420		TRACK	STATE	CURSOR	X	-0.014502832431376345
22:53:40.693427		TRACK	STATE	CURSOR	Y	-0.012374638760342596
22:53:40.713002		TRACK	STATE	CURSOR	X	-0.014814942016114154
22:53:40.713002		TRACK	STATE	CURSOR	Y	-0.013944421283583907
22:53:40.733513		TRACK	STATE	CURSOR	X	-0.015116316413405042
22:53:40.733513		TRACK	STATE	CURSOR	Y	-0.015446164712425174
22:53:40.752725		TRACK	STATE	CURSOR	X	-0.015421669307265268
22:53:40.753725		TRACK	STATE	CURSOR	Y	-0.01695419332331355
22:53:40.772835		TRACK	STATE	CURSOR	X	-0.0157309524288754
22:53:40.773836		TRACK	STATE	CURSOR	Y	-0.018468246908296335
22:53:40.793511		TRACK	STATE	CURSOR	X	-0.01604411648546462
22:53:40.793511		TRACK	STATE	CURSOR	Y	-0.019988064338301866
22:53:40.814511		TRACK	STATE	CURSOR	X	-0.016377060536665794
22:53:40.814511		TRACK	STATE	CURSOR	Y	-0.011589789279476138
22:53:40.835511		TRACK	STATE	CURSOR	X	-0.016714168394952905
22:53:40.835511		TRACK	STATE	CURSOR	Y	-0.013197275685014295
22:53:40.855739		TRACK	STATE	CURSOR	X	-0.017039039113451736
22:53:40.855739		TRACK	STATE	CURSOR	Y	-0.014733292287718162
22:53:40.875714		TRACK	STATE	CURSOR	X	-0.017384100333965046
22:53:40.876714		TRACK	STATE	CURSOR	Y	-0.016351146620559802
22:53:40.896718		TRACK	STATE	CURSOR	X	-0.01771643233066057
22:53:40.896718		TRACK	STATE	CURSOR	Y	-0.017896480957720562
22:53:40.916718		TRACK	STATE	CURSOR	X	-0.018052319902233716
22:53:40.916718		TRACK	STATE	CURSOR	Y	-0.01944595541451924
22:53:40.936928		TRACK	STATE	CURSOR	X	-0.018408766745970213
22:53:40.936928		TRACK	STATE	CURSOR	Y	-0.011077067780710827
22:53:40.957397		TRACK	STATE	CURSOR	X	-0.018751765658757736
22:53:40.957397		TRACK	STATE	CURSOR	Y	-0.012634195677586753
22:53:40.977989		TRACK	STATE	CURSOR	X	-0.019098144880694872
22:53:40.977989		TRACK	STATE	CURSOR	Y	-0.014194649072955206
22:53:40.997468		TRACK	STATE	CURSOR	X	-0.019447844981457203
22:53:40.998467		TRACK	STATE	CURSOR	Y	-0.015758159815910257
22:53:41.018658		TRACK	STATE	CURSOR	X	-0.019818538091603683
22:53:41.018658		TRACK	STATE	CURSOR	Y	-0.01740284265709313
22:53:41.039202		TRACK	STATE	CURSOR	X	-0.010192754840734545
22:53:41.039202		TRACK	STATE	CURSOR	Y	-0.01905028865407994
22:53:41.059218		TRACK	STATE	CURSOR	X	-0.010552361651990009
22:53:41.059218		TRACK	STATE	CURSOR	Y	-0.010621568416598096
22:53:41.079374		TRACK	STATE	CURSOR	X	-0.010915035713199127
22:53:41.080375		TRACK	STATE	CURSOR	Y	-0.012194801824283012
22:53:41.099527		TRACK	STATE	CURSOR	X	-0.011299074285410373
22:53:41.100528		TRACK	STATE	CURSOR	Y	-0.01384850405615767
22:53:41.120634		TRACK	STATE	CURSOR	X	-0.011667834320138395
22:53:41.120634		TRACK	STATE	CURSOR	Y	-0.015424898024676482
22:53:41.140699		TRACK	STATE	CURSOR	X	-0.012039462745183081
22:53:41.140699		TRACK	STATE	CURSOR	Y	-0.017002421379468398
22:53:41.160213		TRACK	STATE	CURSOR	X	-0.012413892509780913
22:53:41.161167		TRACK	STATE	CURSOR	Y	-0.01858080350890972
22:53:41.180313		TRACK	STATE	CURSOR	X	-0.012791055662150266
22:53:41.181433		TRACK	STATE	CURSOR	Y	-0.010159773693837965
22:53:41.200612		TRACK	STATE	CURSOR	X	-0.013170883357442867
22:53:41.200612		TRACK	STATE	CURSOR	Y	-0.011739061150127642
22:53:41.206612		RESMAN	STATE	TANKA	LEVEL	2474
22:53:41.206612		RESMAN	STATE	TANKB	LEVEL	2474
22:53:41.221189		TRACK	STATE	CURSOR	X	-0.013572493842318437
22:53:41.221189		TRACK	STATE	CURSOR	Y	-0.013397358129600696
22:53:41.241276		TRACK	STATE	CURSOR	X	-0.013957564898600875
22:53:41.241276		TRACK	STATE	CURSOR	Y	-0.014976449406009385
22:53:41.261343		TRACK	STATE	CURSOR	X	-0.014345085090243662
22:53:41.262344		TRACK	STATE	CURSOR	Y	-0.016555032103654308
22:53:41.282177		TRACK	STATE	CURSOR	X	-0.014754537967330663
22:53:41.282177		TRACK	STATE	CURSOR	Y	-0.01821170048016612
22:53:41.302221		TRACK	STATE	CURSOR	X	-0.01514685168607908
22:53:41.302221		TRACK	STATE	CURSOR	Y	-0.019788394755894664
22:53:41.322341		TRACK	STATE	CURSOR	X	-0.01554139113959462
22:53:41.323343		TRACK	STATE	CURSOR	Y	-0.011363755602345203
22:53:41.342756		TRACK	STATE	CURSOR	X	-0.01595797099876122
22:53:41.343756		TRACK	STATE	CURSOR	Y	-0.013016153937571833
22:53:41.363765		TRACK	STATE	CURSOR	X	-0.01635683801426067
22:53:41.363765		TRACK	STATE	CURSOR	Y	-0.014587937406238066
22:53:41.383205		TRACK	STATE	CURSOR	X	-0.01675769962193563
22:53:41.384238		TRACK	STATE	CURSOR	Y	-0.016157564800990374
22:53:41.403889		TRACK	STATE	CURSOR	X	-0.01718066626078693
22:53:41.403889		TRACK	STATE	CURSOR	Y	-0.017803058720541953
22:53:41.424600		TRACK	STATE	CURSOR	X	-0.017585373861414243
22:53:41.424600		TRACK	STATE	CURSOR	Y	-0.019367425537730732
22:53:41.444538		TRACK	STATE	CURSOR	X	-0.017991837432991063
22:53:41.445531		TRACK	STATE	CURSOR	Y	-0.0109288170452929
22:53:41.464859		TRACK	STATE	CURSOR	X	-0.018399977157254603
22:53:41.464859		TRACK	STATE	CURSOR	Y	-0.012486965585978489
22:53:41.484821		TRACK	STATE	CURSOR	X	-0.018830239644121387
22:53:41.486070		TRACK	STATE	CURSOR	Y	-0.014119239039208057
22:53:41.505482		TRACK	STATE	CURSOR	X	-0.019241562734449935
22:53:41.506447		TRACK	STATE	CURSOR	Y	-0.015669905048905933
22:53:41.526618		TRACK	STATE	CURSOR	X	-0.01967498741180949
22:53:41.526618		TRACK	STATE	CURSOR	Y	-0.017293734516865885
22:53:41.546923		TRACK	STATE	CURSOR	X	-0.010089148778686533
22:53:41.547434		TRACK	STATE	CURSOR	Y	-0.018835800652549417
22:53:41.567391		TRACK	STATE	CURSOR	X	-0.010525369987334528
